Symbol,Volatility,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown,Vol_N,Sharpe_N,Sortino_N,MDD_N,Risk_Score,Total_Return,Weight,Justification
SHREECEM,0.38966486204162976,0.9810883557805216,1.538227750006885,-0.7997340264764553,0.256069049308505,0.8811410570779425,0.8330934653051918,0.2588612285254286,20.01739388626998,43005.019305019305,8.710764776024478,"High Sharpe Ratio, High Sortino Ratio, Low Volatility, Lower Drawdown Risk"
NESTLEIND,0.2422609130237383,0.8170721280651233,1.279066077917238,-0.3240105825819344,0.0,0.8224349182070941,0.7800692731994556,0.9216978250100819,32.9798408400883,553.7690658008137,14.010840264579013,"High Sharpe Ratio, High Sortino Ratio, Low Volatility, Lower Drawdown Risk"
HINDUNILVR,0.26745188353883304,0.8167087463503606,1.3101907678857465,-0.2678124478558326,0.04376156754237248,0.8223048534098047,0.7864373504186473,1.0,35.87548409284801,1089.9646107178967,12.69117610919285,"High Sharpe Ratio, High Sortino Ratio, Low Volatility, Lower Drawdown Risk"
MARUTI,0.344806196159314,0.7784953624229396,1.1569202099727858,-0.6133966466361308,0.17814090693330847,0.8086271810549637,0.755078363414894,0.5184894563043692,28.3231204691955,3829.1844187461957,9.844019604445787,"High Sharpe Ratio, High Sortino Ratio, Low Volatility, Lower Drawdown Risk"
ULTRACEMCO,0.3326471111335074,0.7484101014378044,1.1475919190104842,-0.7777968501909621,0.1570182344149375,0.7978587983530778,0.7531698053784565,0.2894268091209986,22.385410995110043,2313.1245196003074,10.203843175311322,"High Sharpe Ratio, High Sortino Ratio, Low Volatility, Lower Drawdown Risk"
UPL,0.39860833503610743,0.6702191076792678,0.8866960756212044,-0.7538907684871922,0.27160558440455057,0.769871986304191,0.6997908037385998,0.3227357116675891,28.116962650733722,294.6033810143042,8.515323580524727,"High Sharpe Ratio, High Sortino Ratio, Low Volatility, Lower Drawdown Risk"
ADANIPORTS,0.38175023320998597,0.6656321717991691,0.9788171637837401,-0.5369359331476325,0.24231981467773728,0.7682301896446798,0.7186386767143156,0.6250239560099199,34.51187260821654,421.46428571428567,8.89136052697473,"High Sharpe Ratio, High Sortino Ratio, Low Volatility, Lower Drawdown Risk"
BAJAJ-AUTO,0.3388339741995839,0.615185932286405,0.7172334251719463,-0.599151131824235,0.1677660071448242,0.7501740254248367,0.6651189324710751,0.5383380651427059,32.27027785979046,533.9396444811905,10.017528386121427,"High Sharpe Ratio, High Sortino Ratio, Low Volatility, Lower Drawdown Risk"
HDFCBANK,0.38050039063047075,0.5229062729095556,0.5508335799173436,-0.841764751734352,0.240148597398593,0.7171444735701741,0.631073707766348,0.2002988363724305,27.305731310862534,730.7647058823529,8.920566281423548,"High Sharpe Ratio, High Sortino Ratio, Low Volatility, Lower Drawdown Risk"
HDFC,0.41421037746890926,0.5099167170614759,0.5691348769523566,-0.8147414430136947,0.29870933704928876,0.712495136854473,0.6348181329428957,0.23795104420040114,29.733677786308032,724.5655877342418,8.194577295402123,"High Sharpe Ratio, High Sortino Ratio, Low Volatility, Lower Drawdown Risk"
