Symbol,Volatility,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown,Vol_N,Sharpe_N,Sortino_N,MDD_N,Risk_Score,Total_Return,Weight,Justification
SHREECEM,0.38966486204162976,0.9810883557805216,1.538227750006885,-0.7997340264764553,0.256069049308505,0.8811410570779425,0.8330934653051918,0.2588612285254286,20.01739388626998,43005.019305019305,13.61349291105339,"High Sharpe Ratio, High Sortino Ratio, Low Volatility, Lower Drawdown Risk"
MARUTI,0.344806196159314,0.7784953624229396,1.1569202099727858,-0.6133966466361308,0.17814090693330847,0.8086271810549637,0.755078363414894,0.5184894563043692,28.3231204691955,3829.1844187461957,10.458301010431008,"High Sharpe Ratio, High Sortino Ratio, Low Volatility, Lower Drawdown Risk"
ULTRACEMCO,0.3326471111335074,0.7484101014378044,1.1475919190104842,-0.7777968501909621,0.1570182344149375,0.7978587983530778,0.7531698053784565,0.2894268091209986,22.385410995110043,2313.1245196003074,10.245324120074423,"High Sharpe Ratio, High Sortino Ratio, Low Volatility, Lower Drawdown Risk"
BAJAJFINSV,0.4009395792068003,0.8059781313674341,1.1334333017021536,-0.8678943154523618,0.27565540452451803,0.8184640567878363,0.7502729679022387,0.16389190435182832,21.770257104656782,2068.856806128462,10.479893227791989,"High Sharpe Ratio, High Sortino Ratio, Low Volatility"
HINDUNILVR,0.26745188353883304,0.8167087463503606,1.3101907678857465,-0.2678124478558326,0.04376156754237248,0.8223048534098047,0.7864373504186473,1.0,35.87548409284801,1089.9646107178967,11.493012485833518,"High Sharpe Ratio, High Sortino Ratio, Low Volatility, Lower Drawdown Risk"
KOTAKBANK,0.47460305683915477,0.5599195543381337,0.6007336818821505,-0.8450689099695723,0.40362305268966875,0.7303925946242831,0.6412832135599458,0.1956950754542155,30.691057998991383,1026.8041237113403,6.2717594537576264,"High Sharpe Ratio, High Sortino Ratio, Lower Drawdown Risk"
HDFCBANK,0.38050039063047075,0.5229062729095556,0.5508335799173436,-0.841764751734352,0.240148597398593,0.7171444735701741,0.631073707766348,0.2002988363724305,27.305731310862534,730.7647058823529,5.80211027952996,"High Sharpe Ratio, High Sortino Ratio, Low Volatility, Lower Drawdown Risk"
BHARTI,0.4475160890620613,1.313162578737062,2.3540021144316796,-0.5419426048565121,0.3565677727358831,1.0,1.0,0.6180480432651917,24.36539540002687,724.9154453213077,19.816060572722233,"High Sharpe Ratio, High Sortino Ratio, Lower Drawdown Risk"
HDFC,0.41421037746890926,0.5099167170614759,0.5691348769523566,-0.8147414430136947,0.29870933704928876,0.712495136854473,0.6348181329428957,0.23795104420040114,29.733677786308032,724.5655877342418,5.830813049629971,"High Sharpe Ratio, High Sortino Ratio, Low Volatility, Lower Drawdown Risk"
ICICIBANK,0.47589642609622995,0.4934144255851538,0.6149543800988874,-0.897998996711443,0.40586988419093256,0.7065884907342047,0.6441927527215126,0.12194634812557448,29.425874721519747,703.3444816053512,5.989232889175869,"High Sharpe Ratio, High Sortino Ratio"
