Symbol,Volatility,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown,Vol_N,Sharpe_N,Sortino_N,MDD_N,Risk_Score,Total_Return,Weight,Justification
SHREECEM,0.38966486204162976,0.9810883557805216,1.538227750006885,-0.7997340264764553,0.256069049308505,0.8811410570779425,0.8330934653051918,0.2588612285254286,20.01739388626998,43005.019305019305,32.50276982358425,"High Sharpe Ratio, High Sortino Ratio, Low Volatility, Lower Drawdown Risk"
EICHERMOT,0.48039932471115354,0.7223988484715895,0.8969552054181018,-0.9382370796620408,0.4136922863391688,0.7885486206340226,0.7018898103733471,0.06588168641015346,24.728388543548814,4857.3183213920165,10.923431299693465,"High Sharpe Ratio, High Sortino Ratio"
MARUTI,0.344806196159314,0.7784953624229396,1.1569202099727858,-0.6133966466361308,0.17814090693330847,0.8086271810549637,0.755078363414894,0.5184894563043692,28.3231204691955,3829.1844187461957,9.698709254438006,"High Sharpe Ratio, High Sortino Ratio, Low Volatility, Lower Drawdown Risk"
INDUSINDBK,0.5070560424061561,0.6071131900563965,0.8110431002984215,-0.8510664590593413,0.4600001390345942,0.7472845581262364,0.684312288476134,0.18733855008862177,30.393546063021137,3129.533678756477,8.76800146339718,"High Sharpe Ratio, High Sortino Ratio, Lower Drawdown Risk"
ULTRACEMCO,0.3326471111335074,0.7484101014378044,1.1475919190104842,-0.7777968501909621,0.1570182344149375,0.7978587983530778,0.7531698053784565,0.2894268091209986,22.385410995110043,2313.1245196003074,7.538072410261062,"High Sharpe Ratio, High Sortino Ratio, Low Volatility, Lower Drawdown Risk"
UTIBANK,0.4997663999084054,1.0677780523023215,1.7059661897216356,-0.5901942645698426,0.44733662603758945,0.9121697999869144,0.8674125649592286,0.5508178776940138,30.464303469636505,2137.827715355805,7.24681459560782,"High Sharpe Ratio, High Sortino Ratio, Lower Drawdown Risk"
BAJAJFINSV,0.4009395792068003,0.8059781313674341,1.1334333017021536,-0.8678943154523618,0.27565540452451803,0.8184640567878363,0.7502729679022387,0.16389190435182832,21.770257104656782,2068.856806128462,7.128957326165636,"High Sharpe Ratio, High Sortino Ratio, Low Volatility"
BAJAUTOFIN,0.5058311384709976,0.7734023431139305,1.216965029832469,-0.9180201082753288,0.4578722449838574,0.8068042425385054,0.7673634672943475,0.0940504653029739,24.443875011349466,1463.7438423645322,5.996437885497321,"High Sharpe Ratio, High Sortino Ratio"
HINDUNILVR,0.26745188353883304,0.8167087463503606,1.3101907678857465,-0.2678124478558326,0.04376156754237248,0.8223048534098047,0.7864373504186473,1.0,35.87548409284801,1089.9646107178967,5.174483393545129,"High Sharpe Ratio, High Sortino Ratio, Low Volatility, Lower Drawdown Risk"
KOTAKBANK,0.47460305683915477,0.5599195543381337,0.6007336818821505,-0.8450689099695723,0.40362305268966875,0.7303925946242831,0.6412832135599458,0.1956950754542155,30.691057998991383,1026.8041237113403,5.022322547810128,"High Sharpe Ratio, High Sortino Ratio, Lower Drawdown Risk"
